Αἰάκης	Æakès, (h.)
πυρῶπις	de couleur rouge, ardent
πωγώνιον	dim. de πώγων (barbe)
πωλητήρ	vendeur
πωλητηρίον	endroit pour vendre, halle, marché ; endroit où se réunissaient les πωληταί
πωλοδαμαστής	qui dompte de jeunes chevaux ; maître d'équitation
πωλοδαμαστική	l'art de dompter ou de dresser les jeunes chevaux
πωλοτρόφος	qui nourrit de jeunes chevaux ; qui élève de jeunes animaux
πωλύπιον	dim. de πώλυπος (poulpe)
πωματίζω	fermer avec un couvercle, boucher
πόθοδος	revenu, voies et moyens en surplus, en outre des ressources que procure le travail régulier
πόλιτις	habitante de la cité, citoyenne ; protectrice de la cité
πόμα	sorte de palmier
πόμπευσις	pompe solennelle, procession
πόπαξ	ah !
πόποι	les dieux
πόρευμα	chemin, route ; voyage, marche, expédition
πόρευσις	action de marcher ; passage, détroit
πόρθημα	dévastation, ruine, pillage
πόσθιον	dim. de πόσθη (membre viril, prépuce)
πόστιον	barbarisme d’un Scythe p. πόσθιον
πότις	grande buveuse
πότνα	auguste, sainte, sacrée, vénérable
πύανος	fève, gros grain d'orge mondé
πύη	suppuration, suppuration pulmonaire
πύκα	en masse compacte
πύλος	porte
πύος	pus ; premier lait après l'accouchement, colostrum
πύραθος	crotte de chèvre ou de brebis
πύριος	de feu, enflammé, ardent
πύρωθρον	???? Renvoi sans Issue ????
πώλη	vente
πώμαλα	nullement, point du tout, « de quelle manière absolument ? »
πώρινος	de tuf
πώτημα	vol, essor
πῆ	par où ? où ? vers quel lieu ? ; comment ? de quelle manière ? ; en vue de quoi ? pourquoi ?
πῖος	graisse
πῶς2	comment ? de quelle manière ?
σάγαρις	sorte de hache dont se servaient les Amazones, les Perses et les peuples scythiques
σάθων	garçon vigoureux
σάκας	Sakas
σάκος	bouclier d'osier ou de bois recouvert d'une peau de bœuf ou d'une plaque de métal
σάλη	agitation
σάλπης	saupe, (poisson)
σάμβαλον	sandale de bois, fixée par des courroies passant sur le pied ; sorte de poisson
σάν	sigma
σάος	intact, bien conservé, sain et sauf ; sûr
σάρδα	sorte de thon qu'on pêche près de la Sardaigne
σάρητον	sorte de vêtement
σάσσω	remplir ou bourrer pour soi
σέβω	vénérer, honorer ; honorer les dieux, être pieux ; éprouver un sentiment de pudeur, de crainte religieuse, craindre les dieux ; vénérer, honorer, honorer les dieux
σήπη	putréfaction ; serpent dont la morsure produit la putréfaction
σήσαμος	sésame ; grain de sésame
σίβδη	grenadier grenade ; pelure de grenade
σίγυνον	épieu de chasseur ; petit marchand, débitant
σίγυνος	???? Renvoi sans Issue ????
σίδηρον	fer ; tout instrument de fer ; marché au fer
σίελον	salive, bave ; mucosité, morve
σίκινις	danse de Satyres
σίκιννις	danse de Satyres
σίκλος	sicle
σίκχος	dégoût, aversion
σίντωρ	pillard, voleur, rapace
σίπυδνος	huche pour le pain et la farine
σίρις	Siris (auj. Sinni) (fl.)
σίρος	vase pour conserver le blé ; silo
σίσυμβρον	la menthe aquatique, une sorte de cresson
σίταρχος	préposé aux vivres, intendant
σίτινος	qui concerne le blé
σίττυβος	écuelle de terre
σαγαπηνίζω	avoir qqe ressemblance avec l'assa fœtida
σαγηνευτής	pêcheur à la seine
σαγηνεύς	pêcheur à la seine
σαγμάτιον	dim. de σάγμα (charge, attirail)
σακίζω	filtrer
σακκίζω	filtrer
σακός	lieu clos
σαλάβη	ouverture ou conduit pour la fumée
σαλία	agitation d'esprit, folie
σαλακωνία	affectation de grands airs, faste, ostentation
σαλπίσσω	sonner de la trompette ; sonner, résonner
σαλπικτής	un trompette, un clairon
σαμάκιον	ornement de femme
σαμαγόρειος	sorte de vin inconnu
σανδάλιος	sorte de bandage
σανδαλίσκος	dim. de σάνδαλον (sandale de bois)
σανδαρακουργεῖον	mine d'où l'on extrait l'arsenic rouge
σαοφρονέω	avoir l'esprit ou le corps sain
σαοφροσύνη	état sain de l'esprit ou du cœur
σαπέρδιον	dim. de σαπέρδης (poisson salé), sobriquet
σαπρόω	se putréfier, se gâter
σαραπιάς	sorte de plante orchidée
σαργανίς	&gt; ταργάνη ; osier tressé, corbeille
σαργῖνος	sorte de poisson de mer
σαρδόνιον	corde soutenant le bord supérieur d'un filet de chasse
σαρδόνιος	sardonique, grimaçant, convulsif
σαρδῖνος	???? Renvoi sans Issue ????
σαρκικός	de chair ; qui concerne la chair, charnel ; adonné à la chair, charnel
σαρκολάβος	pince pour saisir les chairs
σαρκοφάγος	qui mange de la chair ou de la viande, carnivore ; qui consume la chair
σαρός	balai ; balayure
σατραπίς	de satrape
σατυριασμός	déformation des os des tempes qui deviennent saillants comme des cornes de satyres ; priapisme ; enflure des glandes derrière les oreilles, maladie des oreillons
σατυρισμός	???? Renvoi sans Issue ????
σατύρα	Satyra, (f.)
σαυνίον	javelot ; verge
σαυρίδιον	sorte de cresson
σαυρῖτις	sorte de pierre précieuse
σαυτοῦ	2e~pers. de toi-même, à toi-même, toi-même
σαφανής	???? Renvoi sans Issue ????
σαόω	conserver sain et sauf
σαώτης	le sauveur
σβεστικός	qui sert à éteindre
σειρίς	petite corde
σελάχειον	dim. de σέλαχος (poisson à peau cartilagineuse)
σελάχιον	dim. de σέλαχος (poisson à peau cartilagineuse)
σελαγίζω	briller
σελασμός	lumière brillante
σεληνιάω	être épileptique, être devin ou sorcier
σεληνόγονον	pivoine
σεληνῖτις	qui vient de la lune
σεμελος	limaçon
σεμιδαλίτης	pain à la fleur de farine du froment
σεμνεῖον	maison religieuse
σεμνηγορέω	parler avec gravité ou avec emphase
σεμνηγορία	gravité du discours
σεμνολόγος	qui parle avec gravité ou avec emphase
σεμνομυθέω	parler avec gravité ou avec emphase
σεμνομυθία	gravité du discours
σεμνόθεοι	les Druides
σεμνόν	sorte de saule
σεπτάς	le nombre sept
σεσερῖνος	sorte de poisson de mer
σεῖος	divin
σεῦτλον	bette ou poirée
σεῦτλος	la bette
σηκύλη	servante pour l'intérieur de la maison
σημαία	enseigne, étendard
σημαιοφόρος	porte-enseigne
σημαντρίς	terre argileuse, propre à recevoir l'empreinte d'un sceau
σηπίδιον	dim. de σηπία (seiche)
σηπίον	partie osseuse ou dos de la seiche, écume de mer
σηπιάς	partie osseuse ou dos de la seiche, écume de mer
σηπιδάριον	dim. de σηπία (seiche)
σηποποιός	qui produit la putréfaction
σηράγγιον	Sèrangion
σηραγγόω	creuser, se creuser
σηρικόν	robe de soie
σηροκτόνος	qui tue les bêtes sauvages
σησάμιον	dim. de σησαμῆ (gâteau de sésame et de miel)
σησαμίς	gâteau de sésame et de miel
σησαμώδης	semblable au sésame
σητάνιος	de l'année ; commun, vulgaire
σητόκοπος	mangé des vers
σθένιος	Sthénios, « le Fort »
σθενιάς	Sthénias, « la Forte »
σιαλενδρίς	sorte d'oiseau
σιβύνιον	dim. de σιϐύνη (javelot)
σιγηρός	silencieux, taciturne ; dont on ne parle pas, obscur
σιγητικός	taciturne
σιγματοειδής	en forme de sigma, demi-circulaire
σιδήρειος	de fer ; dur comme le fer, inflexible, impitoyable ; qui provient du fer
σιδηρήεις	de fer ; dur comme le fer
σιδηρῖτις	de fer ; mêlé de fer, de parcelles de fer ; qui concerne le fer
σιδᾱρονόμος	qui partage par le fer, par l'épée
σικυήρατον	couche de concombres, de potirons ou de melons
σικυοπέπων	sorte de melon
σικυωνία	courge ou coloquinte
σικυός	concombre
σικύασις	application de ventouses
σικύδιον	dim. de σίκυος (concombre)
σιληπορδία	pet au nez de qqn
σιλλικύπριον	ricin
σιλλόω	regarder de travers
σινέομαι	???? Renvoi sans Issue ????
σιναπίδιον	grain de moutarde
σινδόνη	fin tissu de lin à l'usage des Indiens ; objet fait de cette étoffe de lin
σινόω	???? Renvoi sans Issue ????
σιτανίας	sorte de blé qui pousse en arbre
σιτηγός	qui sert au transport du blé ou des vivres
σιτιστός	engraissé
σιτοβόλιον	grange à serrer le grain
σιτοδοχεῖον	dépôt de blé
σιτοδόχος	qui reçoit du blé, du pain ou du fourrage
σιτολόγιον	action de fourrager
σιτομέτριον	???? Renvoi sans Issue ????
σιτοποιητικός	qui concerne la préparation du pain ou des aliments
σιτοπονέω	faire du pain, préparer de la nourriture
σιτοπονία	préparation d'aliments
σιτουργός	qui fait du pain ; qui concerne la fabrication du pain
σιτοφάγος	qui mange du pain
σιτοφόρος	qui transporte du blé ou des vivres ; qui produit du blé
σιτόβολον	grange à serrer le grain
σιτόπονος	qui fait du pain ; qui concerne la fabrication du pain
σιφαῖος	pain
σιφνεύς	taupe
σιφώνιον	sorte d'avoine
σιωπηρός	de caractère silencieux, réservé, discret, taciturne
σκάλοψ	taupe
σκάνδαλον	piège placé sur le chemin, obstacle pour faire tomber
σκάπτειρα	fém. de σκαπτήρ (qui creuse la terre)
σκέπανος	ombre
σκέπαρνος	hache à deux tranchants ; toison de brebis
σκέπω	abriter, protéger, couvrir
σκίγκος	sorte de lézard
σκίλλινος	préparé avec du jus de scille
σκίμβρον	???? Renvoi sans Issue ????
σκίρωμα	racine
σκίφη	petit ver, mite
σκαιοσύνη	gaucherie, maladresse ou grossièreté
σκαλαβώτης	???? Renvoi sans Issue ????
σκαληνής	boiteux
σκαλμίδιον	dim. de σκάλμη (épée thrace, coutelas)
σκαμμώνιον	scammonée
σκανδάλη	tige servant de détente à un piège
σκαπερδεύω	railler, injurier
σκαρδαμυκτέω	avoir les yeux clignotants
σκαριφισμός	action de gratter superficiellement, esquisse superficielle, futilité, puérilité
σκατοφάγος	qui mange des excréments ; avare
σκαφείδιον	dim. de σκαφεῖον (bêche, hoyau)
σκαφηφόρος	scaphéphore
σκεδάω	répandre de côté et d'autre ; renvoyer de côté et d'autre, disperser ; laisser s'échapper, et se répandre
σκεδασμός	dispersion
σκελίσκος	petite jambe
σκελλίς	???? Renvoi sans Issue ????
σκελύδριον	petite jambe
σκεμμός	perception par la vue
σκεπτοσύνη	méditation, examen réfléchi, réflexion
σκευοφοριώτης	valet d'armée
σκευοφόρος	qui porte des bagages
σκευοφύλαξ	gardien des meubles, des ustensiles ou des bagages
σκευωρός	qui surveille ou examine les bagages
σκεύασις	préparation, apprêt (d'aliments, etc.) ; objet d'équipement, harnais
σκηνίδιον	petite tente, hutte
σκηνίς	petite tente
σκηνογράφος	décorateur de théâtre
σκηνύδριον	dim. de σκηνή (toute construction légère servant d'abri ou de couverture)
σκηπάνιον	bâton, sceptre
σκηπτοφόρος	qui porte le sceptre, royal
σκιάδιον	ombelle de certaines plantes
σκιαγράφος	peintre
σκιαδίσκη	ombrelle, parasol
σκιαδεύς	ombre
σκιαθίς	ombre
σκιαρός	qui donne de l'ombre, ombreux ; couvert d'ombrages, ombreux ; obscur, sombre ; qui concerne l'ombre
σκιαστής	qui donne de l'ombre ; serviteur qui porte un parasol
σκιατραφέω	élever à l'ombre, à la maison, d'une manière trop sédentaire ou molle ; vivre à l'ombre
σκιατροφία	éducation ou vie à l'ombre, à la maison, vie trop sédentaire ou molle
σκιμπόδιον	dim. de σκίμπους (lit de repos, litière)
σκινδάριον	poisson inconnu
σκινδαψίζομαι	employer un mot qui n'a pas de sens déterminé
σκιομαχέω	combattre une ombre, combattre un ennemi chimérique
σκιροφοριών	Skirophoriôn, ~mois du calendrier athénien
σκιρτηθμός	action de bondir ; soulèvement, révolte
σκιρόω	sauter, bondir
σκιφός	épée ou poignard
σκιφύδριον	coquillage en forme d'épée
σκιόθηρον	cadran solaire
σκλήρυσμα	durcissement
σκληροκοιτία	couche dure ou sommeil sur un lit dur
σκληροτήρ	dureté, rudesse ; âpreté ; rudesse de caractère ; caractère rigoureux, rigueur
σκληρουχία	traitement rigoureux
σκληρώδης	???? Renvoi sans Issue ????
σκνιπαῖος	qui est dans l'obscurité
σκολιόθριξ	à la chevelure bouclée
σκολοπένδριον	scolopendre
σκολόπιον	dim. de σκόλοψ (pieu, palissade)
σκολύθριον	dim. de σκόλυθρον (tabouret)
σκοπάω	épier, guetter
σκοπευτής	qui observe de loin, qui surveille
σκοπεύω	observer de loin, épier
σκορδινησμός	action de s'étirer en bâillant
σκορδόνιον	dim. de σκόρδον (ail)
σκορπίδιον	petit scorpion
σκορπιοκτόνον	« la mort aux scorpions »
σκορπιόπληκτος	mordu, « frappé » par un scorpion
σκορόδιον	gousse d'ail
σκοτεία	ténèbres, obscurité
σκοτερός	ténébreux, sombre, obscur ; qui est, vit ou se fait dans l'obscurité
σκοτιαῖος	ténébreux, obscur ; qui fait qqe ch. dans l'obscurité
σκοτοδινέω	avoir le vertige
σκοτομήνιος	non éclairé par la lune
σκοτόδινος	???? Renvoi sans Issue ????
σκοτόμαινα	nuit obscure, « où la lune ne brille pas »
σκριβλίτης	sorte de gâteau au fromage
σκυβάλισμα	débris jeté de côté, restes d'un repas ; ce qu'on rejette excrément
σκυδμαίνω	s'irriter ou être irrité contre
σκυλάκαινα	fém. de σκύλαξ (jeune chien, chiot)
σκυλάκη	fém. de σκύλαξ (jeune chien, chiot)
σκυλάω	outrager, profaner
σκυλακεύς	jeune chien ; petit d'animal ; chaîne pour le cou, collier
σκυληφόρος	qui porte ou emporte des dépouilles
σκυλόδεψος	corroyeur
σκυμνίον	dim. de σκύμνος (petit d'un animal)
σκυταληφόρος	qui porte une scytale
σκυτεύς	tout ouvrier travaillant le cuir, cordonnier
σκυτοτόμος	qui taille du cuir
σκωληκίασις	production de vers
σκωμμάτιον	dim. de σκῶμμα (raillerie, sarcasme)
σκόνυζα	conyze ou herbe aux puces ou encensière
σκόρδον	ail
σκόρπαινα	scorpion de mer
σκύθος	vase à boire, haut et sans pied, tasse
σκύθρωπος	sombre, triste, chagrin ; de couleur sombre
σκύλευσις	action de dépouiller un ennemi tué, spoliation
σκύρον	autre n. de la plante ἄσκυρον (millepertuis)
σκύτευσις	fabrication de chaussures
σκώπευμα	sorte de danse
σκῆπτον	bâton
σκῖρον	croûte de fromage
σμήρινθος	corde, ficelle, fil ; ligne à pêcher
σμίνυον	hoyau
σμαράγδιον	dim. de σμάραγδος (émeraude)
σμαρίλη	menu charbon, braise
σμαραγίζω	gronder ou retentir fortement
σμερδνός	terrible, effrayant à voir ; terrible, effrayant à entendre
σμηματοφορεῖον	nécessaire de toilette
σμηνίον	dim. de σμῆνος (ruche, essaim d'abeilles)
σμηρισμάτιον	dim. de σμήρισμα (tube ajusté à un siphon)
σμικρομερής	formé de petites parties
σμικρός	petit
σμιλάριον	dim. de σμίλη (instrument pour tailler)
σμιλα	Smila, (v.)
σμιλεύω	entailler avec un ciseau
σμοιός	Smœos, (h.)
σμυρίζω	oindre de parfums, parfumer
σμυρνεῖον	plante dont la graine a la saveur de la myrrhe
σμυρνιάζω	préparer avec de la myrrhe ; être semblable à la myrrhe
σμῆγμα	substance pour nettoyer ou dégraisser
σμῖλα	Smila, (v.)
σολοικία	incorrection, faute
σολοικώδης	qui ressemble à un solécisme
σοφίστευμα	habileté, adresse ; invention ingénieuse, expédient ; sophisme
σοφίστρια	fém. de σοφιστής
σοφισμάτιον	dim. de σόφισμα (habileté, adresse, invention ingénieuse, sophisme)
σοφισμός	habileté, adresse ; invention ingénieuse, expédient ; sophisme
σοφόω	agir ou parler en sophiste, user d'arguments sophistiques ou de moyens frauduleux
σοῦ	élan, impétuosité
σοῦβος	sorte d'antilope
σπάκα	chienne
σπάργω	envelopper de langes, emmailloter
σπάργωσις	gonflement.
σπάρτος	n. de plantes
σπέραδος	semence
σπίνα	serin ou pinson ; sorte d'alun
σπανία	???? Renvoi sans Issue ????
σπανιάκις	rarement
σπαραγμώδης	déchirant, convulsif
σπαργέω	être gonflé (de sève, de lait, d'humeur, etc.)
σπαργανάω	envelopper de langes, emmailloter
σπαργανίζω	envelopper de langes, emmailloter
σπαρνός	clairsemé, rare, étroit
σπαρτιᾶτις	de Sparte
σπασματώδης	convulsif, spasmodique
σπατάλημα	luxe
σπερμάτιον	dim. de σπέρμα (semence, semailles)
σπερματολόγος	qui ramasse ou picore des grains ; qui ramasse, pour se nourrir, les grains épars sur le marché, malheureux, misérable, gueux
σπερμεῖον	semence
σπερμοφάγος	qui se nourrit de graines
σπεῖος	antre, caverne
σπηλάδιον	dim. de σπήλαιον (caverne, grotte)
σπινθάρυξ	étincelle ; scintillement d'étoile
σπινός	maigre
σπινώδης	maigre
σπλαγχνίδιον	dim. de σπλάγχνον (les entrailles)
σπληδός	cendre
σπληνάριον	dim. de σπλήν (rate)
σπληνίσκος	petit bandage
σπληνώδης	malade de la rate
σπογγίον	dim. de σπόγγος (éponge)
σπογγεύς	pêcheur d'éponges
σπογγοκολυμβητής	plongeur pour la pêche des éponges
σπογγώδης	de la nature d'une éponge, spongieux
σποδιώδης	de couleur cendrée
σποδώδης	de couleur cendrée
σπολά	équipement, ajustement ; armée
σπονδηφορέω	offrir des libations
σπουδαρχέω	briguer une charge
σπυρίδιον	dim. de σπυρίς (corbeille ou panier tressé)
σπυρθίζω	danser d'une manière indécente, en se frappant le derrière avec les talons
σπόδιον	scorie des métaux
σπύραθος	crotte de chèvre ou de brebis
στάθμιον	balance ; poids d'une balance
στέμφυλον	marc d'olives ; marc de raisin
στένος	anxiété, détresse
στήσιος	trad. du lat. Stătŏr, surn. de Jupiter, à Rome
στίγων	marqué d'un fer rouge ; propriétaire dont les biens sont marqués comme grevés d'hypothèques
στίλβωμα	cosmétique pour faire briller le teint
στίλβων	« le brillant », Mercure, Vénus
σταδίη	qui se tient debout ; pesé
σταδιαδρόμος	qui court dans le stade, qui dispute le prix de la course
σταδιεύς	coureur dans le stade
σταδιοδρόμης	qui court dans le stade, qui dispute le prix de la course
σταδιοδρόμος	qui court dans le stade, qui dispute le prix de la course
σταθμόω	mesurer au cordeau
σταιτίτης	sorte de gâteau
σταλακτός	qui coule goutte à goutte
σταμνίον	cruche pour le vin ; &gt; ἀμίς
στασιάρχης	chef de parti ; chef de fugitifs qui s'exilent
σταφυλεπάρτης	instrument pour soulever la luette
σταφυλοκαύστης	instrument pour brûler les ulcères de la luette
σταφύλη	fil à plomb, niveau
σταφύλιον	dim. de σταφυλή (fil à plomb, niveau)
στεάτινος	de pâte
στεάτιον	dim. de στέαρ (graisse, lard ; pâte, levain)
στεατωμάτιον	dim. de στεάτωμα (tumeur graisseuse)
στειλειή	trou où s'adapte le manche d'une cognée
στειλειόν	manche de cognée
στεμφυλίς	olive noire
στεμφυλῖτις	réduit en marc
στεναγμώδης	gémissant
στενοπορθμίς	situé sur ou près d'un détroit
στενοχωρής	qui occupe peu de place, étroit
στενυγρόω	resserrer, contracter
στενωπεῖον	dim. de στενωπός (étroit, resserré)
στερίσκω	priver, spolier
στερνίδιον	dim. de στέρνον (poitrine, poitrail)
στερνοτυπέομαι	se frapper la poitrine en signe de deuil
στερνόμαντις	devin ventriloque
στερόπης	Stéropès
στεφανίας	qui porte une couronne ; où l'on porte des couronnes
στεφανίσκος	dim. de στέφανος (tout ce qui entoure)
στεφανηπλόκος	qui tresse des couronnes
στεφανηφόρος	qui porte une couronne ; où l'on porte des couronnes
στεφανοφορέω	porter une couronne
στεφανόπωλις	bouquetière
στεφηφορέω	porter une couronne
στεφηφόρος	qui porte une couronne ; où l'on porte des couronnes
στηθίον	poitrine
στηθοδεσμίς	petit bandeau pour soutenir la gorge des femmes
στηθόδεσμος	petit bandeau pour soutenir la gorge des femmes
στηθύνιον	dim. de στῆθος (poitrine)
στηλίς	dim. de στήλη (colonne)
στημόνιον	dim. de στήμων (chaîne de tisserand ; trame)
στητώδης	plein de graisse ou de lard
στιβάδιον	dim. de στιϐάς (lit d'herbe, de paille ou de feuillage)
στιβίη	chemin battu
στιλβός	brillant
στιλβότης	éclat
στιχάς	rangée, ligne ; ligne d'écriture, vers
στιχίδιον	dim. de στίχος (rangée, ligne ; vers)
στιχιδίον	dim. de στίχος (rangée, ligne ; vers)
στιχῳδός	qui chante des vers, poète
στλεγγίδιον	dim. de στλεγγίς (strigile, racloir)
στοίδιον	dim. de στοά (portique ou galerie)
στολιστής	préposé au vestiaire, à la garde-robe
στομάλιμνον	lac ou étang formé par les eaux de la mer ; lac formé par un fleuve à son embouchure
στομίς	qui a la bouche dure
στομοδόκος	bavard
στομφώδης	emphatique
στοναχίζω	se lamenter
στορύνη	instrument de chirurgie pour certaines opérations dans la bouche
στράβων	louche
στράταρχος	chef d'armée
στραγγάλη	lacet, cordon ; action d'étrangler
στραγγουριάω	être malade de strangurie
στρατάω	faire camper, être campé
στρατία	armée, troupe militaire ; expédition militaire ; service militaire
στρατηγέτης	chef d'armée, général
στρατιάρχης	chef d'armée, commandant
στρατιῶτις	de soldat
στρεπτήρ	gond de porte
στρεύγομαι	se consumer, dépérir, être épuisé
στρηνός	désir violent, passion
στροβιλώδης	en forme de toupie ou de pomme de pin
στρομβεῖον	petite pomme de pin
στρομβόω	faire tournoyer
στρουθάριον	dim. de στρουθός (moineau, autruche)
στρουθίας	Strouthias, le Moineau
στρουθίον	petit moineau
στρουθίς	petit oiseau
στρουθίων	autruche ; &gt; στρούθιον
στρουθοφάγος	qui mange des autruches
στροφίς	enroulement
στροφωμάτιον	dim. de στρόφωμα (gond, charnière)
στρούθειον	coing.
στρωματόδεσμος	couverture de voyage, en toile ou en cuir
στυγερωπός	à l'aspect odieux
στυλάριον	pilastre
στυππειοπώλης	marchand d'étoupes
στυράκιον	dim. de στύραξ (lance, pique)
στυφελώδης	âcre ; ferme, fort, dur
στυφοκόπος	qui frappe avec un bâton, frappé de coups de bâton
στωμυλήθρα	volubilité de parole, bavardage
στωμυλεύομαι	babiller
στόρεννυμι	étendre pour soi
στόρνη	ceinture
στόχασις	action de viser, d'avoir en vue ; action de conjecturer
στύγνασις	tristesse ; aspect sombre, triste, morne
στύμα	bouche ; embouchure d'un fleuve
στύππη	filasse, étoupe
στύφλος	âcre ; ferme, fort, dur
στῖον	petit caillou
συβώτρια	fém. de συϐώτης (porcher)
συγγενίς	la parenté
συγγενεύς	parent, parente ; très proche parent
συγγνωμονέω	être indulgent
συγγνωμοσύνη	indulgence
συγγραμμάτιον	dim. de σύγγραμμα (ouvrage, traité ; règlement)
συγκακύνω	blesser ou endommager ensemble
συγκαταγήρᾱσις	action de vieillir ensemble
συγκαταθνήσκω	mourir avec
συγκαταμίγνυμι	mêler avec, mélanger, unir
συγκεράω	mêler pour soi
συγκιρνάω	mêler pour soi
συγκληρονόμος	cohéritier
συγκορύφωσις	récapitulation
συγκρατικός	qui consiste en un mélange
συγκριμάτιον	dim. de σύγκριμα (décision, décret)
συγκρουσμός	heurt, choc
συγκυναγός	compagnon de chasse
συγκυνηγέτης	compagnon de chasse
συγκυνηγέω	chasser ensemble
συγκυρκανάω	mêler, bouleverser
συζάω	vivre ensemble
συκίδιον	dim. de σῦκον (figue)
συκαμινέα	mûrier
συκομορέα	sycomore ou figuier d'Égypte
συκομοραία	sycomore ou figuier d'Égypte
συκοφάντρια	fém. de συκοφάντης (délateur, calomniateur)
συκοφαντίας	le vent de la calomnie
συκοφαντιά	métier de sycophante, délation, calomnie ; fraude
συκοφαντώδης	d'une manière calomnieuse
συκοφόρος	qui porte, produit des figues
συκόφασις	métier de sycophante, délation, calomnie ; fraude
συκῆ	figuier ; figue ; résine du pin ; fic
συλλάλησις	entretien, conversation
συλλήπτρια	qui aide ou protège, auxiliaire
συμβατήριος	conciliant
συμβιοτεύω	vivre ensemble ou avec
συμβλήδην	en somme, en un mot ; en général
συμβοηθεία	secours qu'on apporte avec d'autres
συμβολατεύω	rechercher les pique-nique
συμμάρτυς	témoin avec d'autres
συμμίγδην	confusément, pêle-mêle avec
συμμίγνυμι	mêler ensemble ou avec ; se mêler avec
συμμετίσχω	avoir ou prendre part
συμμετρότης	réduction à une commune mesure ; juste proportion, symétrie
συμπήσσω	ficher ou fixer ensemble
συμπαίκτρια	???? Renvoi sans Issue ????
συμπαίκτωρ	compagnon de jeux
συμπαίστρια	???? Renvoi sans Issue ????
συμπαίστωρ	compagnon de jeux
συμπαθία	???? Renvoi sans Issue ????
συμπαιανίζω	chanter un péan avec ; faire du bruit ensemble
συμπαραμιγνύω	mélanger
συμπαρανήχομαι	nager ensemble près du rivage
συμπερασμός	accomplissement, terminaison ; conclusion d'un syllogisme
συμπεριπόλησις	action de tourner ensemble autour, évolution simultanée autour
συμπηγία	action de ficher ou de fixer ensemble
συμπιεσμός	compression, resserrement
συμπιλόω	fouler ensemble, comprimer
συμπλάζομαι	errer avec
συμπορνεύω	faire la débauche ensemble
συμποσιάρχης	président d'un banquet, chargé d'en régler l'ordonnance
συμφιλονεικέω	se mêler à une querelle ; prendre parti pour qqn
συμφράζω	dire ou exprimer ensemble
συμφροσύνη	accord
συμφυή	action de naître ou de croître ensemble ; union, cohésion
συμφυία	action de naître ou de croître ensemble ; union, cohésion
συνάγκεια	embranchement de plusieurs vallées ; fond d'une vallée où se réunissent les eaux des montagnes
συνάορος	uni à, qui accompagne
συνάρθμιος	uni avec, lié avec, ami
συναί͂γδην	d'un égal élan
συναίμων	de même sang ; qui concerne des parents par le sang
συναγρώσσω	chasser à la fois avec
συναγωγία	action de rassembler ; lieu de rassemblement, synagogue
συναικλία	repas commun
συναλιάζω	réunir en assemblée
συνανάσσω	régner ou gouverner ensemble
συνανακιρνάομαι	???? Renvoi sans Issue ????
συναναμίγνυμι	mêler l'un avec l'autre
συναναφυράω	pétrir avec
συναναχρωτίζω	teindre de la même couleur
συνανθρωπέω	vivre au milieu des hommes, de la vie de tout le monde
συνανθρωπίζω	être sociable ; être apprivoisé
συναντή	rencontre
συναντιάζω	se rencontrer avec ; se rencontrer, en venir aux mains ; se rencontrer, survenir, arriver ; se rencontrer avec ; se rencontrer, survenir
συναοιδός	qui unit son chant ou sa voix à ; qui s'accorde avec
συναρμόζω	convenir à, s'accorder avec, s'harmoniser avec
συνασμενισμός	joie commune
συνδίαιτος	qui vit avec un autre
συνδαίτης	commensal, hôte
συνδιαιτάω	régler un différend ensemble
συνδιανεύω	se pencher en même temps de tous les côtés
συνδιατριβή	fréquentation, relations habituelles
συνείργνυμι	ramasser, réunir ; réprimer, arrêter
συνεγκλιτικός	accompagné, suivi d'un enclitique
συνεδριάζω	siéger ensemble dans une assemblée délibérante ; être associé, joint, uni à
συνεδριάομαι	siéger ensemble dans une assemblée délibérante ; être associé, joint, uni à
συνεκθνήσκω	mourir avec ou en même temps
συνεκλειόω	polir avec
συνεκσώζω	sauver aussi ou contribuer à sauver d'un danger
συνεκφώνησις	prononciation simultanée
συνεμφανίζω	montrer en même temps, laisser en même temps sentir, comprendre ou deviner
συνεξοτρύνω	exciter ensemble
συνεπεισφέρομαι	introduire avec soi dans ou contre
συνεπιθῡμητής	compétiteur, rival
συνεπικλάω	briser ou faire fléchir en même temps
συνεπισκοπέω	examiner avec
συνεπισπεύδω	accélérer ensemble ou en même temps
συνεργάτις	fém. de συνεργάτης (auxiliaire, complice)
συνεργήτης	qui prête son aide ou son concours ; auxiliaire, complice
συνεταιρίς	fém. de συνέταιρος (compagnon, camarade)
συνευνέτις	qui partage la couche, épouse ou concubine
συνεφέπομαι	suivre ensemble, accompagner
συνηγόρημα	plaidoyer, défense
συνηλικιώτης	de même âge, compagnon, camarade de
συνηρεφέω	couvrir d'un ombrage épais, obscurcir, aveugler ; se couvrir d'ombrages épais
συνθηρευτής	compagnon de chasse
συνθνήσκω	mourir ensemble ou avec
συνθωκέω	siéger avec, prendre conseil de
συνιερουργέω	offrir un sacrifice ou des sacrifices avec un autre
συνιππεύω	aller à cheval ensemble ou avec
συνιστάω	placer debout avec ou en même temps
συννέφελος	couvert de nuages, nuageux, sombre
συννεφέω	couvrir de nuages ; se couvrir de nuages, s'assombrir
συννεφία	amas de nuages, ciel nuageux
συνοδοιπόρος	compagnon ou compagne de voyage
συνοικήτωρ	qui habite ou vit avec
συνοικίδιον	petite habitation commune à plusieurs familles
