@Αἰάντειος	d'Ajax,	of Ajax
συγχειλίαι	coins des lèvres,	points of junction of the lips
συγχειμάζω	passer l'hiver avec,	winter along with
συγχειρίζω	manier ou administrer avec,	administer along with
συγχειροπονέω	mettre la main à un travail avec,	do also by manual labour
συγχειρουργέω	accomplir ensemble,	put hand to
συγχιλίαρχος	collègue dans le tribunat militaire,	fellow-tribune
συγχορδία	accord,	harmony
συγχορευτής	qui fait partie du même chœur de danse,	companion in the dance
συγχορεύτρια	see <lang="grc">συγχορευτής</grc>	partner in the dance
συγχορεύω	danser ensemble,	join in the dance
συγχορηγέω	être chorège avec,	assist with supplies
συγχορηγός	chorège avec un autre, qui contribue à certains frais,	sharing with a partner in the expense
συγχρίω	oindre par tout le corps, oindre,	anoint at the same time
συγχρηματίζω	être appelé avec, avoir un nom en commun avec,	to be associated with
συγχριστός	oint par tout le corps, oint,	to be applied as ointment
συγχρονισμός	existence, événement ou récit du même temps,	agreement of time
συγχρωτίζομαι	avoir commerce avec,	to be in
συγχυτικός	propre à confondre, à troubler,	confounding
συγχωνεύω	faire fondre ensemble,	melt down
συγχωρία	see <lang="grc">συγχώρησις</grc>	indulgence
συγχωρητικός	enclin à concéder, à pardonner,	assigning a place to . .
συγχόνδρωσις	union de deux os par un cartilage,	junction
συγχύνω	see <lang="grc">συγχέω</grc>	confound
συγχώρημα	concession, consentement,	concession
συγχώρησις	concession, consentement,	agreement, consent
συζέω	faire bouillir ou cuire ensemble,	boil together
συζητητής	qui se livre à des recherches ou à des discussions,	joint inquirer: disputant
συζοφόω	envelopper de ténèbres,	darken
συζυγής	see <lang="grc">σύζυγος</grc>	consort
συζωοποιέω	rendre vivant ou vivifier ensemble,	quicken together with
συζώννυμι	ceindre,	gird together, gird up
συκάμινον	mûre,	fruit of the
συκάμινος	mûrier,	mulberry-tree
συκάριον	dim. de σῦκον (figue)	small fig
συκίζω	nourrir de figues,	fatten with figs
συκίον	décoction de figues,	decoction of figs
συκίς	marcotte de figuier,	slip or cutting from a fig-tree
συκαλίς	bec-figue,	beccafico
συκαμίνινος	de mûres,	of or belonging to the
συκαμινώδης	semblable à une mûre,	like a mulberry
συκεών	see <lang="grc">συχών</grc>	fig-yard
συκοπέδιλος	délateur aux talonnières de figues,	fig-sandaled
συκοτράγος	qui mange des figues,	fig-eating
συκοτραγέω	manger des figues,	eat figs
συκοτραγίδης	« le fils du mangeur de figues »,	fig-nibbler
συκοφάντης	dénonciateur de ceux qui exportent des figues par contrebande ou de ceux qui volent les figues des figuiers consacrés,	common informer, voluntary denouncer
συκοφαντικός	de sycophante, calomnieux,	typical of a
συκοφορέω	porter, produire des figues,	carry figs
συκωτός	préparé avec des figues, 	fed on figs
συκόμορον	fruit du sycomore,	fruit of the
συκόμορος	sycomore ou figuier d'Égypte,	sycamore-fig, Ficus Sycomorus
συκώδης	qui ressemble à une figue,	fig-like
συκών	lieu planté de figuiers,	fig-yard
συλέω	see <lang="grc">συλάω</grc>	steal for oneself
συλήτειρα	see <lang="grc">συλήτωρ</grc>	plunderer
συλήτωρ	qui dépouille, spoliateur,	plunderer
συλλήπτωρ	qui aide ou protège, auxiliaire,	accomplice, assistant
συλλαλέω	parler ensemble ou avec :	talk with or together
συλλανθάνω	être caché en même temps à,	escape at the same time
συλλατρεύω	servir ensemble (une divinité)	serve with or together
συλλαφύσσω	engloutir ou dévorer ensemble,	devour or carry off together
συλλειτουργέω	être collègue de qqn pour un service public,	to be a joint
συλλειόω	broyer ensemble,	pound up together
συλλεσχηνεύω	s'entretenir avec,	converse with
συλλογεύς	celui qui recueille,	collector
συλλογιμαῖος	rassemblé de toutes parts,	collected from divers places
συλλογιστέος	qu'il faut admettre par le raisonnement,	to be concluded
συλλοιδορέω	injurier ensemble,	join in reviling
συλλοχία	groupement, concentration (réunion de compagnies)	place where soldiers were collected into
συλλοχίτης	soldat de la même compagnie,	soldier of the same
συλλοχισμός	réunion de compagnies,	parallel arrangement of
συλλυπέω	affliger ensemble ou avec,	hurt or mortify together
συλλυσσάομαι	être enragé ou furieux avec,	go mad with
συλλῃστής	compagnon de brigandages,	fellow-robber
συλλῃστεύω	commettre ensemble des brigandages,	join in robbing
συλόνυξ	qui coupe (qui enlève) les ongles,	paring the nails
συμμάρτυρος	see <lang="grc">σύμμαρτυς</grc>	configurate
συμμέθεξις	participation en commun,	participation in
συμμένω	rester uni, compact,	hold together, keep together
συμμέτοχος	qui participe à :	partaking with
συμμέτρησις	action de mesurer par comparaison,	measuring by comparison
συμμήρυσις	action de pelotonner,	winding together, connexion
συμμήστωρ	conseiller, auxiliaire,	fellow-counsellor
συμμαίνομαι	être fou avec,	to be mad together, join in madness
συμμαθητής	condisciple,	fellow-disciple, schoolfellow
συμμαλάσσω	amollir ou pétrir avec,	soften together
συμμαραίνομαι	se flétrir avec,	wither together
συμμαρτυρέω	témoigner avec ou en faveur de :	bear witness with or in support of
συμμαστιγόω	fouetter avec ou ensemble,	whip or lash along with
συμμαχέω	assister dans un combat,	to be an ally, to be in alliance
συμμαχίς	allié, 	allied
συμμαχικός	qui concerne une alliance, 	of or for alliance
συμμεθέπω	diriger ensemble, tenir ensemble,	sway jointly
συμμεθαρμόζομαι	adapter à,	adapt
συμμεθύω	être ivre ou s'enivrer avec, Phanias	get drunk together with
συμμειρακιώδης	tout à fait juvénile,	altogether childish
συμμελής	qui s'harmonise ou s'accorde avec,	in time
συμμελετάω	exercer avec,	exercise or practise with
συμμεμετρημένως	avec de justes proportions,	in due proportion
συμμερίζω	donner une part proportionnelle :	distribute in shares
συμμεριστής	qui partage avec un autre,	sharer
συμμεσουράνησις	situation sous un même méridien,	simultaneous culmination
συμμεσουρανέω	se trouver sous le même méridien,	culminate together
συμμετέχω	avoir ou prendre part :	partake of with, take part in with
συμμεταίτιος	see <lang="grc">συναίτιος</grc>	contributing jointly
συμμεταδίδωμι	faire part à :	impart information about
συμμετακινέω	déplacer ensemble ou en même temps,	transfer at the same time
συμμετακοσμέω	modifier le costume avec, changer de costume ou d'habitudes avec,	revise
συμμεταποιέω	modifier ensemble,	alter along with or together
συμμεταρρέω	s'écouler ensemble ou en même temps,	flow away together
συμμετασχηματίζω	transformer en même temps,	make a corresponding change in
συμμετατίθημι	transporter en même temps,	transfer at the same time
συμμεταφέρω	transporter ou déplacer en même temps,	transfer at the same time
συμμεταχειρίζομαι	manier ensemble,	take charge of along with
συμμετεωροπολέω	vivre dans les régions célestes avec,	walk on air together with
συμμετοικέω	émigrer avec,	emigrate or move along with
συμμηνία	temps où la lune ne se montre pas, espace entre deux lunes,	period when the moon does not shine, Peripl. M.Rubr.
συμμηρύομαι	rouler ensemble, pelotonner,	wind together, connect
συμμητιάομαι	délibérer ensemble,	take counsel with or together
συμμιαίνω	souiller ensemble ou en même temps,	defile together with
συμμιαιφονέω	égorger ensemble,	to be a murderer with
συμμιμέομαι	imiter ensemble ou avec,	join in imitating
συμμιμητής	imitateur avec d'autres,	joint imitator
συμμινύθω	s'amoindrir ou dépérir avec ou en même temps,	decrease together with
συμμισέω	haïr ensemble :	join with in hating
συμμισοπονηρέω	haïr ensemble le mal ou les méchants,	feel common hatred of what is bad
συμμνημόνευσις	action de se souvenir à la fois,	concurrent recollection
συμμογέω	travailler péniblement avec,	share suffering with
συμμοιράω	attribuer un lot par la voie du sort,	impart at the same time
συμμοναρχέω	partager le pouvoir absolu avec,	reign along with
συμμονόομαι	rester seul avec,	to be alone with
συμμοριάρχης	président d'une	president of a
συμμοχθέω	partager la fatigue ou la peine de,	share in toil with
συμμυέω	initier avec,	initiate together
συμμύστης	celui qui est initié avec un autre, collègue dans le sacerdoce,	one who is initiated with
συμμύω	se rapprocher, se fermer,	shut up, close
συμπάθησις	see <lang="grc">συμπάθεια</grc>	sympathy
συμπάρειμι2	s'avancer ensemble ou en même temps,	@
συμπάρθενος	jeune compagne,	fellow-maiden
συμπάροικος	qui habite ensemble auprès,	dwelling beside together
συμπάσσω	saupoudrer,	besprinkle, bespatter, bestrew
συμπένομαι	être pauvre ensemble :	to be poor along with
συμπέτομαι	voler ensemble ou avec,	fly with or together
συμπήγνυμι	ficher ou fixer ensemble,	put together, construct, frame
συμπίεσις	compression, resserrement,	compression
συμπίτνω	see <lang="grc">συμπίπτω</grc>	fall or dash together
συμπαίκτης	see <lang="grc">συμπαιστής</grc>	senpectas
συμπαγής	solidement fixé ensemble, compact,	joined together, compacted
συμπαγία	see <lang="grc">σύμπηξις</grc>	fitting together
συμπαιστής	compagnon de jeux,	playmate, playfellow
συμπαιωνίζω	see <lang="grc">συμπαιανίζω</grc>	sing the paean with
συμπαλαίω	lutter avec ou ensemble,	wrestle in company with
συμπανηγυρίζω	célébrer une fête ou des jeux avec,	attend a solemn assembly together
συμπανουργέω	agir méchamment de concert avec qqn,	play the knave along with
συμπαράκειμαι	se trouver ensemble auprès,	to be adjacent
συμπαράληψις	action de recevoir ou de prendre ensemble ou en même temps,	calling in, enlistment
συμπαράταξις	action de ranger en bataille, bataille rangée, lutte acharnée entre la constitution d'un malade et la maladie,	meeting in battle
συμπαρέπομαι	accompagner, escorter,	go along with, accompany
συμπαρέχω	procurer ou faire naître en même temps,	assist in
συμπαρήκω	se présenter ensemble ou en même temps,	to be present together with, accompany
συμπαρίπταμαι	passer ensemble ou en même temps en volant,	fly along with
συμπαραγγέλλω	soutenir la candidature de qqn,	help in canvassing fÃ³r
συμπαραδίδωμι	livrer en même temps,	give up along with
συμπαραδηλόω	montrer en même temps,	show at the same time, incidentally
συμπαραθέω	courir auprès avec,	run along together
συμπαραιτέομαι	chercher en même temps à détourner par ses prières,	deprecate at the same time
συμπαρακαθέζομαι	s'asseoir auprès avec :	sit down beside also
συμπαρακαθίζω	faire asseoir ensemble près de,	sit close beside
συμπαρακατακλίνω	placer ensemble à table :	make to lie beside
συμπαρακελεύομαι	exhorter ensemble,	help in inciting
συμπαρακμάζω	se flétrir ou s'étioler en même temps,	decay simultaneously with
συμπαρακολουθέω	suivre pas à pas, ou sur une ligne parallèle,	follow along or in a parallel line with, keep up with
συμπαρακομίζω	amener avec soi le long de la côte (des navires)	bring along the coast with
συμπαρακύπτω	se pencher ensemble pour regarder,	bend oneself along with
συμπαραληπτικός	qui aime à prendre avec soi,	disposed to take into counsel
συμπαρανέω	nager au milieu de,	swim beside together
συμπαραναλίσκω	consumer ou épuiser en même temps,	destroy at the same time
συμπαρανεύω	donner son assentiment ensemble,	express assent also
συμπαρανομέω	violer la loi, commettre une faute de concert avec qqn,	transgress the laws along with
συμπαραπέμπω	amener ou accompagner ensemble,	escort along with
συμπαραπλέω	naviguer ensemble auprès,	sail along with also
συμπαραπόλλυμι	faire périr ensemble,	destroy along with
συμπαραστάτης	défenseur, protecteur,	one who stands by to aid, joint helper or assistant
συμπαραστατέω	se tenir auprès pour assister, assister, secourir,	stand by so as to assist
συμπαρασύρω	entraîner ou faire disparaître en même temps,	throw in' incidentally
συμπαρατάσσομαι	se ranger en bataille, livrer une bataille rangée,	to be set in array with
συμπαρατήρησις	observation simultanée,	observation at the same time
συμπαρατίθημι	placer ensemble ou en même temps auprès,	place alongside
συμπαρατείνω	étendre ensemble le long de,	stretch out alongside of
συμπαρατηρέω	observer ensemble ou en même temps,	take care at the same time
συμπαρατρέφω	nourrir ensemble ou en même temps,	bring up or keep at the same time
συμπαρατρέχω	courir ensemble à côté de,	run alongside with
συμπαραφέρω	emporter ensemble le long de ou au delà de,	bring with one
συμπαραφύομαι	naître en même temps auprès,	grow together
συμπαραχωρέω	céder en totalité,	give way together with
συμπαρεισέρχομαι	s'introduire ensemble furtivement,	go in along with
συμπαρεκτείνω	exposer l'un auprès de l'autre, rapprocher, comparer,	stretch out side by side, apply
συμπαριππεύω	passer à cheval ensemble,	ride along with
συμπαροίχομαι	passer ensemble ou avec,	to have passed by together
συμπαροδεύω	voyager en outre ensemble,	accompany
συμπαρομαρτέω	accompagner ou escorter ensemble,	accompany
συμπαροξύνω	aiguiser, exciter ensemble,	provoke along with or together
συμπαρορμάω	exciter ensemble ou en même temps,	urge on in addition
συμπατάσσω	heurter, bouleverser,	strike along with or together
συμπαταγέω	frapper avec bruit l'un contre l'autre,	strike together, clap
συμπατριώτης	compatriote,	fellow-countryman
συμπαχύνω	rendre épais ou compact,	make thick together
συμπαύομαι	cesser en même temps,	cease together with
συμπείρω	percer entièrement, transpercer,	pierce through together
συμπεδάω	entraver ensemble, enchaîner ensemble,	bind together, bind hand and foot
συμπεπλεγμένως	conjointement,	complicatedly
συμπεπτικός	digestif,	promoting digestion, digestive
συμπεράω	fermer,	cross
συμπερίειμι	entourer,	go round with
συμπερίπολος	compagnon,	fellow
συμπεραίωσις	achèvement, fin,	conclusion, sum
συμπεραιόω	achever ou conclure ensemble,	conclude along with or together
συμπεριάγω	mener ensemble autour,	carry about along with or together
συμπεριέλκω	tirer ou traîner ensemble tout autour,	drag about together
συμπεριέρχομαι	faire ensemble le tour de,	go round together
συμπεριέχω	embrasser, contenir avec,	embrace in the same circuit
συμπεριαγωγός	qui aide à conduire tout autour ou à conduire de côté et d'autre,	assistant in converting others
συμπεριαιρετέον	il faut enlever tout autour,	one must strip off
συμπεριγράφω	circonscrire ensemble, resserrer,	circumscribe or cancel together with
συμπεριειλέω	enrouler tout autour,	wrap round also
συμπεριθέω	courir ensemble tout autour,	revolve with
συμπερικινέω	mouvoir en même temps autour,	move round together
συμπερινοέω	embrasser à la toise dans son esprit,	consider well with or together
συμπερινοστέω	faire un circuit avec, tourner avec,	go round together with, follow along with
συμπεριπέτομαι	voler tout autour de,	fly about with
συμπεριπίπτω	tomber en même temps ou ensemble tout autour,	fall about together
συμπεριπατέω	se promener autour de ou circuler avec,	walk round or about with
συμπεριπλέκω	enlacer tout autour,	embrace
συμπεριπλέω	naviguer ensemble autour,	sail about with
συμπεριπλοκή	entrelacement, enchaînement,	inter-connexion
συμπεριποιέω	aider à acquérir :	help in procuring
συμπεριπολέω	tourner ensemble autour, accompagner sans cesse,	go round together with
συμπερισπάω	marquer également d'un accent circonflexe la dernière syllabe,	to circumflex also
συμπερισπωμένως	également avec un accent circonflexe sur la dernière syllabe,	by reason of sharing the circumflex accent
συμπεριστέλλω	envelopper entièrement, cacher, voiler,	help in cloaking
συμπεριτίθημι	mettre tout autour de, entourer de :	put round together
συμπεριτειχίζω	enfermer dans une même enceinte,	help in walling round
συμπεριτρέπω	retourner ou bouleverser ensemble ou en même temps,	overthrow together with
συμπεριτρέχω	courir ensemble autour, parcourir ensemble,	run round together
συμπεριτυγχάνω	se rencontrer avec ou rencontrer en même temps,	fall in with at the same time
συμπεριφέρω	porter ensemble autour,	carry round along with or together
συμπεριφαντάζομαι	se représenter ou imaginer ensemble,	form conceptions of also
συμπεριφθείρομαι	périr avec,	go about with
συμπεριφράσσω	enfermer dans une même enceinte,	fence all round or together
συμπερονάω	attacher ensemble avec une agrafe ou avec une boucle,	pin together
συμπετάννυμι	déployer ensemble,	spread out with or together
συμπιλέω	fouler ensemble, comprimer,	force together like felt
συμπιλητικός	propre à resserrer en foulant,	apt to compress or close
συμπιπράσκω	vendre ensemble,	sell with or together
συμπιστεύω	se confier en même temps, se confier à,	believe or trust along with
συμπιστόομαι	confirmer,	confirm
συμπλάσσω	former ensemble, façonner ensemble, construire,	moula or fashion together
συμπλέγδην	par entrelacement,	by plaiting together
συμπλέω	naviguer ensemble ou avec,	sail in company with
συμπλήγδην	en applaudissant,	with clapping of hands
συμπλήρης	tout plein, complet,	solid
συμπλήρωμα	chose achevée ou complète, résultat,	blocking or filling up
συμπλανάομαι	errer ensemble, s'égarer ensemble ou avec,	wander about with
συμπλαταγέω	faire du bruit en battant (des mains, etc.)	sound by striking together
συμπλείονες	plusieurs ensemble,	several together
συμπλεκής	entrelacé,	entwined, entangled
συμπλεκτικός	propre à entrelacer,	twining or plaiting together
συμπληθύω	see <lang="grc">συμπληθύνω</grc>	help to fill or increase
συμπλημμελέω	pécher avec,	sin together with
συμπληρωτικός	propre à remplir, achever ou compléter,	able to complete, forming an essential part of
συμπλοκή	entrelacement,	intertwining, complication, combination
συμπνέω	souffler ou respirer avec,	breathe together with
συμπνίγω	étouffer, suffoquer,	press closely
συμπνευσμός	see <lang="grc">συμπνέω</grc>	conspiracy
συμπνιγής	suffocant,	choking by pressure
συμποδηγέω	conduire ou diriger ensemble,	conduct or lead together
συμποιμαίνω	faire paître ensemble,	to be a shepherd with
συμπολίζω	réunir en une ville,	unite into one city
συμπολίτης	concitoyen,	fellow-citizen
συμπολεμέω	faire la guerre comme allié de ou de concert avec :	join in war
συμπολιορκέω	assiéger ensemble,	join in besieging, besiege jointly
συμπολιτεία	confédération ou ligue de plusieurs États,	federal union
συμπομπεύω	aller en procession avec,	accompany in a procession
συμπονηρεύομαι	faire qqe méchanceté ou qqe mauvaise action avec,	join
συμπορίζω	fournir ou procurer ensemble,	help in procuring
συμπορεύομαι	aller ensemble avec,	come, go
συμπορθέω	dévaster ou ruiner ensemble ou avec,	help to destroy or sack
συμπορισμός	approvisionnement,	assistance in procuring
συμπορσύνω	procurer ensemble,	help to arrange, promote
συμποσία	action de boire ensemble, festin,	drinking together
συμποσίαρχος	président d'un banquet, chargé d'en régler l'ordonnance,	president of a drinking-party, toastmaster
συμποσιάζω	festiner avec ou ensemble,	drink together
συμποσιακός	qui concerne les festins,	of or fit for a drinking-party, convivial
συμποσιαρχέω	être président d'un banquet,	to be a
συμποσιαρχία	présidence d'un banquet,	office of
συμπράκτωρ	auxiliaire, associé, compagnon,	helper, assistant
συμπράτης	associé pour une vente,	warrantor
συμπρέπω	s'accorder avec,	befit, beseem
συμπρίασθαι	acheter ensemble ou en même temps,	buy up
συμπραγματεύομαι	traiter d'affaires ou d'une affaire avec :	assist in transacting
συμπρακτικός	qui vient au secours de, qui aide,	cooperating
συμπρεπής	qui convient à,	befitting
συμπροαύξομαι	croître avec,	increase with or together
συμπρογιγνώσκω	prévoir avec,	foreknow or foresee along with
συμπροδίδωμι	livrer en même temps,	join in betraying
συμπροθυμέομαι	s'efforcer ensemble, faire effort avec ou en faveur de :	have equal desire with, share in eagerness with
συμπροκόπτω	progresser ensemble ou en même temps,	increase with
συμπρονομεύω	aller au fourrage avec,	join in plundering
συμπροξενέω	aider qqn,	help in furnishing with means
συμπροπέμπω	escorter ensemble,	join in escorting
συμπροπίπτω	survenir ou s'avancer ensemble,	rush forth with
συμπροπορεύομαι	s'avancer ensemble,	travel forward with
συμπροσάγω	amener en même temps ou ensemble,	bring along with or together
συμπροσίσχομαι	s'attacher à,	attach oneself to
συμπροστάτης	collègue comme président,	joint
συμπροστίθημι	adapter ensemble ou en même temps,	make up deficiency of
συμπροτίθημι	mettre ensemble ou en même temps avant,	cause to be placed first at the same time
συμπροτερέω	devancer ou surpasser ensemble ou avec,	precede
συμπροτρέπω	exciter ou exhorter ensemble,	urge on or exhort at the same time
συμπροφαίνω	montrer ensemble ou avec,	bring forth to light together
συμπροφητεύω	prophétiser ou prédire ensemble,	prophesy along with or together
συμπρόεδρος	qui partage la présidence,	jointpresident
συμπρόειμι	see <lang="grc">συμπροέρχομαι</grc>	go forth along with or together
συμπρόσειμι	s'approcher avec ou ensemble,	sum
συμπρύτανις	collègue comme prytane,	joint-prytanis
συμπτερόομαι	prendre des ailes ensemble ou s'envoler avec,	get wings together
συμπτύσσω	plier ensemble, fermer, enfermer, serrer,	fold or pack together
συμπυκάζω	couvrir entièrement,	cover quite up
συμπυκνόω	rendre compact,	press close together, make compact
συμπυνθάνομαι	s'informer ensemble ou en même temps de,	inquire about with
συμπυρόω	faire brûler avec ou ensemble,	burn up, consume along with or together
συμπωλέω	vendre avec ou ensemble,	sell with or together
συμπότης	celui qui boit avec d'autres, convive,	fellow-drinker, boon-companion
συμφαίνομαι	paraître ou se montrer ensemble,	appear along with or together
συμφανής	visible de toutes parts, manifeste, évident,	manifest, evident
συμφαντάζομαι	apparaître ensemble,	to be imagined along with
συμφερτός	qui se rassemble en un, condensé :	united, in conjunction
συμφερόντως	avantageusement,	profitably
συμφερώτερος	plus convenable, plus avantageux,	more expedient
συμφθέγγομαι	parler ou résonner d'accord, être d'accord avec,	sound with
συμφθίνω	se consumer avec, dépérir avec,	decay along with
συμφιλέω	aimer ensemble ou mutuellement,	love mutually
συμφιλία	amitié mutuelle,	mutual friendship
συμφιλοδοξέω	s'intéresser à la gloire de,	agree in promoting
συμφιλολογέω	s'occuper ensemble d'études ou d'exercices littéraires,	join in literary studies
συμφιλομαθέω	aimer également l'étude,	join in love of knowledge
συμφιλοσοφέω	s'occuper ensemble de philosophie,	join in the love and pursuit of wisdom
συμφιλοτιμέομαι	rivaliser de zèle, rivaliser avec,	join in zealous efforts
συμφλάω	presser ou froisser l'un contre l'autre, réduire en morceaux,	crush in pieces
συμφλεγμαίνω	s'enflammer avec ou ensemble,	to be inflamed at the same time
συμφλυαρέω	bavarder ensemble,	chatter or trifle along with
συμφοιτάω	fréquenter ensemble une école,	go regularly to
συμφοιτητής	condisciple,	schoolfellow
συμφονεύω	tuer avec,	kill along with, join in killing
συμφοράζω	see <lang="grc">συμφοραίνω</grc>	bewail
συμφορέω	apporter ensemble,	bring together, collect, heap up
συμφορεύς	lieutenant d'un polémarque,	aide-de-camp
συμφορητός	rassemblé, fait de pièces rapportées, de morceaux rattachés, de peuples réunis,	brought together, collected
συμφροντίζω	s'inquiéter ensemble :	have a joint care for
συμφρόνησις	consentement, accord,	agreement, union
συμφρύγω	faire rôtir avec, embraser avec,	burn or parch quite up
συμφυάς	union de choses qui croissent et se soudent ensemble,	a growing together, connexion by natural growth
συμφυγάς	compagnon ou compagne d'exil,	fellow-exile
συμφυγαδεύω	bannir ensemble,	banish at the same time
συμφυλάσσω	veiller ensemble sur, garder ensemble,	keep guard along with
συμφυλέτης	qui est de la même tribu, compatriote,	of the same
συμφυράω	see <lang="grc">συμφύρω</grc>	mix up with
συμφυτεύω	planter avec ou ensemble,	plant along with or together
συμφυτικός	propre à rapprocher, à unir,	causing to unite
συμφωνούντως	d'accord avec,	in harmony with
συμφωτίζομαι	faire briller ensemble,	give light together with
συμφόρησις	rassemblement, foule,	bringing together
συμφύλαξ	qui garde avec, compagnon de garde,	fellow-watchman or guard
συμφύρδην	pêle-mêle, confusément,	mixedly
συμφώνησις	accord, consentement,	agreement
συμψαύω	se toucher ensemble,	touch one another
συμψελλίζω	balbutier avec ou ensemble,	stammer with or together
συμψεύδομαι	mentir ensemble ou avec,	tell a lie together
συμψηφίζω	compter ensemble,	reckon together, count up
συμψιθυρίζω	chuchoter avec,	whisper with
συμψιλόω	marquer également d'un esprit doux,	pronounce with the spiritus lenis also
συμψοφέω	faire retentir en frappant avec,	make a noise together
συνάγγελος	envoyé collègue d'un autre,	fellow messenger
συνάγνυμι	mettre en pièces,	break to pieces, shiver
συνάγχη	angine,	sore throat
συνάδελφος	qui a des frères ou des sœurs,	one that has a brother or sister
συνάεθλος	auxiliaire, allié,	fellow-toiler
συνάθροισις	rassemblement,	collecting
συνάκοος	condisciple,	fellow-hearer
συνάλειμμα	onguent,	salve
συνάλλαξις	relations,	exchange
συνάμφω	tous les deux ensemble, 	both together
συνάνειμι	monter ou avancer ensemble,	go up together
συνάντημα	rencontre, événement, accident,	incident, occurrence
συνάντησις	rencontre,	meeting
συνάντομαι	se rencontrer avec, rencontrer,	fall in with, meet
συνάπας	tout ensemble, tout entier, tous ensemble,	all together
συνάρθρωσις	emboîtement,	an immovable articulation
συνάριστος	qui dîne avec,	breakfasting with
συνάρμοσις	harmonie parfaite,	fitting together
συνάσκησις	exercice ou pratique en commun,	training
συνάχθομαι	s'affliger avec :	to be troubled or grieved along with
συνάχνυμαι	s'affliger avec,	to be grieved along with
συνέκδημος	qui voyage à l'étranger avec, compagnon de voyage,	fellow-traveller
συνέκκειμαι	être exposé avec,	to be exposed with
συνέκτροφος	nourri ou élevé avec,	reared up together
συνέλκω	tirer ensemble,	draw together
συνέμπορος	compagnon de voyage, compagnon,	fellow-traveller, companion
συνέμφασις	action de laisser comprendre en même temps, allusion,	joint or secondary indication
συνένδοσις	abandon de soi-même, affaissement,	giving in, giving way
συνέντασις	tension de toutes les parties d'un tout,	a putting on the stretch
συνέπαινος	qui est d'accord avec, qui approuve,	joining in approbation of
συνέπεια	suite de mots ou de vers, contexte,	connexion of words or verses
συνέπειμι	marcher ensemble sur, attaquer ensemble,	join in attacking
συνέπειξις	hâte,	great haste
συνέργημα	aide, assistance,	assistance, support
συνέρδω	faire avec, aider,	co-operate, help
συνέριθος	compagnon ou compagne de travail, auxiliaire,	fellow-worker, helpmate
συνέταιρος	compagnon, camarade,	companion, partner, comrade
συνέψημα	aliment cuit qu'on sert avec d'autres,	boiling together
συνήκω	être venu ensemble, être réuni,	to have come together, be assembled, meet
συνήμων	lié avec, compagnon, ami,	united
συνήνεμος	léger comme le vent, vain,	exposed to the wind
συνήσθησις	félicitations,	sympathetic joy
συνήχησις	consonance, accord,	sounding in accord
συνίερος	honoré d'un culte commun,	having joint sacrifices
συνίημι	envoyer ou lancer ensemble ou l'un contre l'autre,	bring or set together
συνίλλω	enrouler,	press together, contract
συνίππαρχος	commandant de cavalerie avec un autre,	joint commander of horse
συνίππευσις	action de faire manœuvrer la cavalerie en masse,	close formation
συνίπταμαι	s'envoler ensemble,	fly with or together
συνίστωρ	qui sait avec un autre, témoin,	knowing along with
συνίσχω	see <lang="grc">συνέχω</grc>	retain
συναίνεσις	assentiment,	approval, consent, assent
συναίνυμαι	prendre ensemble, recueillir,	gather up
συναίρεμα	réunion,	aggregate, sum
συναίρω	lever ensemble ou avec,	take up together
συναίσθησις	action de percevoir une chose en même temps qu'une autre, sensation ou perception simultanée,	joint-sensation, joint-perceplion
συναγάλλομαι	s'enorgueillir ou se réjouir avec,	rejoice with
συναγανάκτησις	action de s'indigner avec qqn,	common anger or vexation
συναγανακτέω	s'indigner avec,	to be vexed along with
συναγαπάω	aimer avec ou en même temps,	love along with
συναγγέλλω	annoncer ensemble,	announce together
συναγγία	espace resserré,	confined space
συναγείρω	rassembler, réunir,	gather together, assemble
συναγελαστικός	qui se rassemble d'ordinaire en troupeau ou en troupe, 	gregarious
συναγερμός	rassemblement, réunion,	gathering together, assembling
συναγιάζω	sanctifier ensemble ou en même temps,	share in holiness
συναγινέω	rassembler,	collect
συναγνεύω	être en même temps chaste,	to be pure or chaste together
συναγνοέω	ignorer ensemble ou également,	to be ignorant with or together
συναγοράζω	acheter avec ou ensemble,	buy up
συναγορεύω	parler d'accord avec,	advocate
συναγρίς	sorte de poisson de mer,	sea-fish
συναγραυλέω	vivre en pleins champs avec,	live in the country along with
συναγρεύω	chasser à la fois avec,	join in the chase
συναγριαίνω	s'exaspérer ou être exaspéré avec,	to be fierce along with
συναγρυπνέω	veiller avec,	keep awake with
συναγυρμός	action de recueillir,	bringing together, collecting
συναγυρτός	recueilli,	collected
συναγχικός	malade d'une angine,	affected with
συναγωνίζομαι	prendre part à une lutte avec, soutenir dans une lutte, combattre pour, secourir, assister, défendre :	contend along with, share in a contest
συναγωνιστής	qui lutte avec, auxiliaire, défenseur,	one who
συναγώνισμα	assistance, secours,	succour in a contest
συναδηλέομαι	être également obscur,	to be obscure together
συναδοξέω	être également déshonoré,	share in disgrace
συναηδίζομαι	se déplaire ou s'ennuyer ensemble,	to be displeased together
συναθροίζω	rassembler, réunir, (une armée, etc.)	gather together, assemble
συναθύρω	s'ébattre avec,	play with
συναιθριάζω	s'éclaircir en même temps,	clear at the same time
συναιθύσσω	être agité avec (le vent), voler (au vent)	stream or wave with
συναισθητικός	qui a conscience,	by way of
συναισχύνω	déshonorer en même temps,	begrime, soil at the same time
συναιτιάομαι	accuser avec,	accuse along with
