TargetWord	LemmaWord	lsj (Liddell, Scott, Jones)
πρότερον	πρότερος	before, in front; former, earlier
πρότιθεν	προτίθημι	set before, set out
πρότονος	πρότονοι	ropes from the masthead to the forepart of a ship, forestays
πρότροπος οἶνος	πρότροπος	before the treading
πρότροπος οἶνος	οἶνος	wine
πρόχους	πρόχοος	vessel for pouring out, jug
πρόχους	προχόω	pile in front, heap up
πρόχουσι	πρόχοος	vessel for pouring out, jug
πρύμνη	πρύμνα	stern, poop
πρώαν	πρώην	lately, just now
πρώων	πρών	foreland, headland
πρώϊμος	πρώιμος	early
πρᾳότης	πραότης	mildness, gentleness
πρᾴως	πρᾶος	Gött. Nachr.
πρᾶτος	πρότερος	before, in front; former, earlier
πρῆγμα	πρᾶγμα	deed, act
πρῆξαι	πράσσω	pass through, pass over; experience; achieve, effect, accomplish; practise
πρῆξις	πρᾶξις	doing, transaction, business
πρῆσε	πίμπρημι	burn, burn up
πρῆσε	πρήθω	burn
πρῆσις	πρᾶσις	sale
πρῖνον	πρῖνος	holm-oak, Quercus Ilex
πρῳαίτερον	πρωί	early in the day, at morn
πρῴ	πρωί	early in the day, at morn
πρῴραθε	πρῴραθεν	from the ship's head, from the front
πρῴρηθεν	πρῴραθεν	from the ship's head, from the front
πρῶτα	πρότερος	before, in front; former, earlier
πρῶτος	πρότερος	before, in front; former, earlier
πρῷμος	πρώιμος	early
πρῷος	πρώιος	early
πτάς	πέτομαι	fly
πτίττω	πτίσσω	winnow grain
πτανός	πτηνός	flying, winged
πτεροφυΐα	πτεροφυία	growing feathers
πτερυγοειδῶς	πτερυγοειδής	like a wing
πτητικῶς	πτητικός	able to fly
πτοίη	πτοέω	terrify, scare
πτοιέω	πτοέω	terrify, scare
πτολεμίζω	πολεμίζω	wage war, fight
πτολεμιστής	πολεμιστής	warrior
πτωχηΐη	πτωχεία	beggary, mendicity
πτωχῶς	πτωχός	beggar
πτόλεμος	πόλεμος	war
πτόλεμόνδε	πόλεμόνδε	into the fight
πτόλις	πόλις	city
πτύρω	πτύρομαι	to be scared or frightened
πτῆναι	πέτομαι	fly
πυγμῇ	πυγμή	fist
πυθμένιον	πυθμενέω	to be a base of a series
πυθμενικῶς	πυθμενικός	basic, first in a series
πυκιμήδης	πυκιμηδής	of close or cautious mind, shrewd
πυκινά	πυκνός	close, compact.
πυκινῶς	πυκνός	close, compact.
πυκνά	πυκνός	close, compact.
πυλαῗτις	πυλαῖτις	door-keeper
πυξίνεος	πύξινος	made of box-wood
πυρήϊον	πυρεῖον	firesticks
πυρίως	πυρεύς	one who lights fire or burns
πυραγρέτης καρκίνος	καρκίνος	crab
πυραμιδικῶς	πυραμιδικός	pyramidal
πυργοδάϊκτος	πυργοδάικτος	destroying towers
πυργοποιΐα	πυργοποιία	building of a tower
πυριήκης	πυριηκής	with fiery point
πυριφλέγων	πυριφλεγής	flaming with fire, blazing
πυρκόοι	πυρκόος	one who watched a sacrificial fire
πυροειδῶς	πυροειδής	fiery
πυροῖς	πυρά	watch-fires
πυροῖς	πυρός	wheat, Triticum vulgare
πυροῖς	πυρόω	burn with fire, burn up
πυρριχιακῶς	πυρριχιακός	pyrrhic
πυρρόω	πυρράζω	to be fiery red
πυρωδῶς	πυρώδης	cereal
πωλέεσκε	πωλέω	sell or offer for sale
πωλέ᾽	πωλέομαι	go up and down or to and fro
πωλέ᾽	πωλέω	sell or offer for sale
πωλοδαμνική	πωλοδαμνικός	of or for horsebreaking
πωλοτροφική	πωλοτροφικός	of or for horsebreeding
πόδεσσι	πούς	foot
πόκα	πότε	when? at what time?
πόληες	πόλις	city
πόρε	πόρος	means of passing a river, ford, ferry
πόρε	πόρω	furnish, offer, give
πόρθημα	πόρθησις	sack
πόρσω	πρόσω	forwards, onwards
πόσσις	πόσις1	husband, spouse
πόσως	πόσος	of what quantity?
πόσως	ποσόω	reckon the quantity of, count
πότα	πότης	drinker, tippler, toper
πόταγε	προσάγω	bring to or upon
πότις	πότης	drinker, tippler, toper
πότορθρος	πρόσορθρος	towards morning
πότ᾽	πότε	when? at what time?
πότ᾽	πότης	drinker, tippler, toper
πότ᾽	πότος	drinking-bout, carousal
πότῃ	πότης	drinker, tippler, toper
πότῃ	πρόσημαι	to be seated at or close to
πότῃ	προσίημι	let come to
πύθεσκε	πυνθάνομαι	learn
πώεα	πῶυ	flock
πώλη	πώλης	seller, dealer
πώλη	πωλέω	sell or offer for sale
πώλιον	πωλέω	sell or offer for sale
πώς	πῶς2	how?
πώς	πως	in any way, at all, by any means
πᾶρος	πῆρος	loss of strength, dotage
πῖθι	πίνω	drink
πῶλε	πῶλος	foal
πῶϋ	πῶυ	flock
πῶϋξ	πῶυξ	heron
σάγη	σάττω	fill quite full, pack, stuff
σάκος	σάκκος	coarse cloth of hair
σάλπης	σάλπη	saupe, Box salpa
σάμερον	σήμερον	to-day
σάν	σός	thy, thine (also possessive pronoun)
σάνδιξ	σάνδυξ	a bright red colour
σάσσω	σάττω	fill quite full, pack, stuff
σέας	σής	moth
σέθεν	σύ	thou
σέλα	σέλας	light, brightness, flame
σέλα	σελάω	shine
σέο	σύ	thou
σέσελι	σέσελις	hartwort, Tordylium officinale
σέων	σής	moth
σέων	σός	thy, thine (also possessive pronoun)
σίδαρος	σίδηρος	iron
σίδηρον	σίδηρος	iron
σίελον	σίαλον	spittle, saliva
σίκλον	σίγλος	shekel
σίκλος	σίγλος	shekel
σίκυον	σίκυος	cucumber, Cucumis sativus
σίνω	σίνομαι	harm, hurt, do
σίραιος οἶνος	οἶνος	wine
σίσων	σίζω	hiss
σίω	σίον	water parsnip, Sium angustifolium
σαγάλινα ξύλα	ξύλον	wood
σαγάλινα ξύλα	σαγάλινος	of sandalwood
σαγάπηνος ὀπός	ὄψ	voice
σαγάπηνος ὀπός	ὀπός	juice
σαγηνευτής	σαγηνευτήρ	one who fishes with the
σαγηνεύς	σαγηνευτήρ	one who fishes with the
σαθρῶς	σαθρός	unsound
σαθρῶς	σαθρόω	make unsound or feeble
σακίον	σακκίον	small bag
σακίτας	σηκίτης	kept in the fold, weaned
σακκέω	σακεύω	strain, filter
σακός	σηκός	pen, fold
σαλαΐζω	σαλαίζω	cry out in distress
σαλπίσσω	σαλπίζω	sound the trumpet
σαλπικτής	σαλπιγκτής	trumpeter
σαμαίνω	σημαίνω	show by a sign, indicate, point out
σαμαγόρειος οἶνος	οἶνος	wine
σαμᾷον	σημεῖον	mark
σαννίων	σάννιον	membrum virile
σαοφροσύνη	σωφροσύνη	soundness of mind, prudence, discretion
σαπήῃ	σήπω	make rotten or putrid
σαπρῶς	σαπρός	rotten, putrid
σαρκίνως	σάρκινος	of or like flesh, fleshy
σαρκοποιΐα	σαρκοποιία	making of flesh
σαρκοφυΐα	σαρκοφυία	growth of flesh
σατραπεῖα	σατραπεῖον	palace of a satrap
σατραπηΐη	σατραπεία	satrapy, office or province of a satrap
σαφέως	σαφής	clear, plain, distinct
σαφανής	σαφηνής	plain truth
σαφηνέως	σαφηνής	plain truth
σαφηνῶς	σαφηνής	plain truth
σαόφρων	σώφρων	of sound mind
σαύρη	σαύρα	lizard
σαώτερος	σῶς	safe and sound, alive and well
σειρή	σειρά	cord, rope
σειρηφόρος	σειραφόρος	which draws by the trace only
σελάχιον	σελάχιος	cartilaginous, having no scales
σεληνιακῶς	σεληνιακός	lunar
σεληνόγονον	σεληνόγονος	peony
σελινίτης οἶνος	σελινίτης	flavoured with celery
σελινίτης οἶνος	οἶνος	wine
σεμιδαλίτης ἄρτος	ἄρτος	cake or loaf of wheat-bread
σεμνολόγως	σεμνόλογος	one who speaks solemnly or affectedly
σεμνοπρεπῶς	σεμνοπρεπής	solemn-looking, dignified
σεμνόν	σεμνός	revered, august, holy
σεμνῶς	σεμνός	revered, august, holy
σεμνῶς	σεμνόω	make solemn or grand, exalt, magnify
σεπτάς	σεπτός	august
σεσαρώς	σαίρω	part the lips and show the closed teeth
σεσιγαμένος	σιγάω	keep silence
σεύατο	σεύω	put in quick motion, drive
σεῖο	σύ	thou
σεῖος	θεῖος1	of or from the gods, divine
σεῦ	σύ	thou
σεῦα	σεύω	put in quick motion, drive
σεῦτλον	τεῦτλον	beet, Beta maritima
σημήϊον	σημεῖον	mark
σημαντικῶς	σημαντικός	significant
σημαντὸς τροχαῖος	σημαντός	marked
σημαντὸς τροχαῖος	τροχαῖος	running, spinning
σημειωδῶς	σημειώδης	remarkable, conspicuous
σηπίη	σηπία	cuttle-fish, sepia
σηπεδονικῶς	σηπεδονικός	causing putrefaction
σηπτή	σηπτός	converted into excrement
σητόκοπος	σητόβρωτος	eaten by moths
σθεναρῶς	σθεναρός	strong, mighty
σιαγονίτης μῦς	σιαγονίτης	of the jaw-bone
σιαγονίτης μῦς	μῦς	mouse or rat
σιγά	σιγή	silence
σιγαλός	σιγηλός	silent
σιγμοειδῶς	σιγμοειδής	of the shape of sigma
σιγῆν	σιγάω	keep silence
σιδάρειος	σιδήρεος	made of iron or steel
σιδάρεος	σιδήρεος	made of iron or steel
σιδαρίτας	σιδηρίτης	of iron
σιδαροχάρμας	σιδηροχάρμης	fighting
σιδαρόπλακτος	σιδηρόπληκτος	smitten by iron
σιδηροῦς	σιδήρεος	made of iron or steel
σιδηροῦς	σιδηρόω	overlay with iron
σικύη	σικύα	bottle-gourd, Lagenaria vulgaris
σιλιγνίτης ἄρτος	σιλιγνίτης	made therefrom
σιλιγνίτης ἄρτος	ἄρτος	cake or loaf of wheat-bread
σιλλογράφος	σίλλος	squint-eyed
σινέομαι	σίνομαι	harm, hurt, do
σιπύα	σιπύη	meal-tub
σιτέσκοντο	σιτέω	take food, eat
σιτεύσιμον	σιτεύσιμος	of or for feeding
σιτοδηΐη	σιτοδεία	want of food, famine
σιτολόγιον	σιτολογέω	collect corn, forage
σιτομέτριον	σιτομετρέω	deal out portions of corn or provisions
σιτοποιΐα	σιτοποιία	bread-making, preparation of food.
σιτοποιϊκός	σιτοποιικός	for bread-making
σιφαῖος ἄρτος	ἄρτος	cake or loaf of wheat-bread
σιωπηρός	σιωπηλός	silent
σιωπηρῶς	σιωπηλός	silent
σιός	θεός	God, the Deity
σιός	σής	moth
σιώ	θεός	God, the Deity
σκέπα	σκέπας	covering, shelter
σκέπα	σκέπη	covering, shelter, protection
σκέπα	σκεπάω	cover, shelter
σκέπαρνος	σκέπαρνον	carpenter's axe, adze
σκέπαστρα	σκέπαστρον	veil
σκίμπτω	σκίμπτομαι	press forward
σκίφη	ξίφος	sword
σκίφη	σκίφος	sword
σκαιοσύνη	σκαιότης	awkwardness
σκαιῶς	σκαιός	left, on the left hand
σκαμμωνίτης οἶνος	οἶνος	wine
σκαρδαμυκτέω	σκαρδαμυκτής	one who blinks or winks
σκεθρῶς	σκεθρός	exact, careful
σκελέαι	σκέλλω	dry up, parch
σκελέω	σκέλλω	dry up, parch
σκεπαστικῶς	σκεπαστικός	sheltering
σκεπόωσι	σκεπάω	cover, shelter
σκεπόωσι	σκεπάζω	cover, shelter
σκευά	σκευή	equipment, attire, apparel
σκευοποιΐα	σκευοποιία	preparing of masks and other stage-properties
σκευοφόριον	σκευοφορέω	carry
σκιή	σκιά	shadow
σκιαρός	σκιερός	shady, giving shade
σκιατραφέω	σκιατροφέω	rear in the shade or within doors
σκιητροφέω	σκιατροφέω	rear in the shade or within doors
σκιλλίτης οἶνος	οἶνος	wine
σκιρτέω	σκιρτάω	spring, leap, bound
σκιρτόω	σκιρτάω	spring, leap, bound
σκιόωντο	σκιάω	overshadow, make shady
σκληροφυής	σκληρόφυής	of hard, harsh nature, tough
σκολιόω	σκολιάζω	to be erooked
σκολιῶς	σκολιός	curved, bent
σκοπιή	σκοπιά	lookout-place
σκορδινέομαι	σκορδινάομαι	stretch one's limbs, yawn, gape
σκορπίουρον	σκορπίουρος	scorpion-tailed
σκοτέω	σκοτάω	their sight is darkened
σκοτεινῶς	σκοτεινός	dark
σκοτοδινίη	σκοτοδινία	dizziness, vertigo
σκοτοδινίη	σκοτοδινιάω	suffer from dizziness or vertigo
σκυθρωπῶς	σκυθρωπός	of sad or angry countenance, sullen
σκυλόδεψος	σκυλοδέψης	tanner of hides
σκυτοδεψός	σκυτοδέψης	leatherdresser, currier
σκυτοτόμιον	σκυτοτομέω	cut leather
σκυϐελίτης οἶνος	οἶνος	wine
σκότιον	σκότιος	dark
σκότιον	σκοτάω	their sight is darkened
σκύλιος	σκύλος	animal's skin, hide
σκύπφος	σκύφος	cup, can
σκύτα	σκῦτος	skin, hide
σκᾶνος	σκῆνος	hut, tent
σκᾶπτον	σκῆπτρον	staff or stick
σκᾶπτρον	σκῆπτρον	staff or stick
σκῆπτον	σκήπτω	prop, stay
σκῖρον	σκῖρος	hard
σμίλα	σμίλη	knife for cutting or carving
σμαραγίζω	σμαραγέω	crash
σμαραγδίτης λίθος	σμαραγδίτης	of the kind or colour of the smaragdus
σμαραγδίτης λίθος	λίθος	stone
σμερδαλέως	σμερδαλέος	terrible to look on, fearful
σμηκτρὶς γῆ	σμηκτρίς	fuller's earth
σμηκτρὶς γῆ	Γαῖα	land, country
σμηκτρὶς γῆ	γῆ	earth
σμηκτὶς γῆ	Γαῖα	land, country
σμηκτὶς γῆ	γῆ	earth
σμηνουργέομαι	σμηνουργέω	to be a bee-master
σμικρολογία	μικρολογία	meanness, stinginess
σμικρολόγος	μικρολόγος	counting trifles, careful about trifles
σμικρός	μικρός	small, little
σμικρότης	μικρότης	smallness.
σμικρῶς	μικρός	small, little
σμυγερῶς	σμυγερός	with pain, painful
σμυρίτης λίθος	λίθος	stone
σμᾶνος	σμῆνος	beehive
σμῆν	σμάω	wipe or cleanse with soap
σολοίκως	σόλοικος	speaking incorrectly, using broken Greek
σολοικοειδῶς	σολοικοειδής	solecistic
σοφιστικῶς	σοφιστικός	of or for a sophist
σοῖο	σός	thy, thine (also possessive pronoun)
σπάνη	σπάνις	scarcity, dearth, lack
σπένδεσκε	σπένδω	make a drink-offering
σπέσσι	σπέος	cavern, grotto
σπήεσσι	σπέος	cavern, grotto
σπαθίτης οἶνος	σπαθίτης	palm
σπαθίτης οἶνος	οἶνος	wine
σπανία	σπάνιος	rare, scarce, scanty
σπανίως	σπάνιος	rare, scarce, scanty
σπαργέω	σπαργάω	to be full to bursting, swell, be ripe
σπαργανίζω	σπαργανόω	wrap in
σπαρείς	σπείρω	sow
σπασμωδέως	σπασμώδης	convulsive, spasmodic
σπασμωδῶς	σπασμώδης	convulsive, spasmodic
σπατάλημα	σπατάλη	wantonness, luxury
σπείρα	σπεῖρα	anything twisted or wound
σπείρα	σπεῖρος	coats
σπείρα	σπειράομαι	to be coiled or folded round
σπείρημα	σπείραμα	coil, convolution
σπείσασκε	σπένδω	make a drink-offering
σπειράω	σπειράομαι	to be coiled or folded round
σπειροειδῶς	σπειροειδής	coiled
σπερματίας σικυός	σπερματία	seed
σπερματίας σικυός	σπερματίας	left to ripen for seed
σπερματίας σικυός	σίκυος	cucumber, Cucumis sativus
σπερματικῶς	σπερματικός	of or for seed
σπερματῖτις φλέψ	σπερματῖτις	spermatic
σπερματῖτις φλέψ	φλέψ	blood-vessel
σπερμεῖον	σπερμεῖος	presiding over seeds
σπεῖο	ἕπομαι	"see <span lang=""grc"">ἕπω</span>"
σπεῖος	σπέος	cavern, grotto
σπηλαΐτης	σπηλαίτης	worshipped in grottos
σπογγοειδῶς	σπογγοειδής	sponge-like, spongy
σποδίτης ἄρτος	σποδίτης	baked in hot ashes
σποδίτης ἄρτος	ἄρτος	cake or loaf of wheat-bread
σποδιή	σποδιά	heap of ashes, ashes
σπολέω	σπολεύς	loaf
σπουδαστικῶς	σπουδαστικός	zealous, earnest
σπόδιον	σπόδιος	ash-coloured, grey
σπόδιον	σποδέω	pound, smite, crush
στάθεν	ἵστημι	make to stand
στάλα	στήλη	block of stone
στάλα	σταλάω	let drop, let fall
στάν	ἵστημι	make to stand
στάξ᾽	στάξις	dropping, dripping
στάξ᾽	στάζω	drop, let fall or shed drop by drop
στάσκεν	ἵστημι	make to stand
στήθεσφιν	στῆθος	breast
στήῃς	ἵστημι	make to stand
στίχες	στίξ	row, line, rank or file
στίχες	στείχω	walk, march, go or come
σταδίη	στάδιος	standing fast and firm
σταδιοδρόμης	σταδιοδρομέω	run in the stadium, race
σταθερῶς	σταθερός	standing fast, firm, fixed
σταθμέομαι	σταθμάω	measure by rule
σταθμόω	σταθμάω	measure by rule
σταλάττω	σταλάσσω	let drop
σταλαγέω	σταλάσσω	let drop
στασιαστικῶς	στασιαστικός	seditious, factious
στασιοποιΐα	στασιοποιία	stirring up of sedition
στασιωτικῶς	στασιωτικός	inclined to faction, seditious
σταυροειδῶς	σταυροειδής	like a cross
σταφιδοποιΐα	σταφιδοποιία	making of raisins
σταῖμεν	ἵστημι	make to stand
στεγανή	στεγανός	covering so as to keep out water, water-tight
στεινωπός	στενωπός	narrow
στεινόπορος	στενόπορος	with a narrow pass or outlet
στεινός	στενός	narrow
στελεή	στελεά	haft, shaft
στενή	στενός	narrow
στενῶς	στενός	narrow
στενῶς	στενόω	straiten, confine, contract
στερεμνίως	στερέμνιος	hard, fast, firm
στερεῶς	στερεός	firm, solid
στερεῶς	στερεόω	make firm or solid
στερητικῶς	στερητικός	having a negative quality
στερρῶς	στερρός	stiff, firm, solid
στεφαναφορία	στεφανηφορία	wearing of a wreath
στημόνιον	στημόνιος	of or like the threads of the warp
στιχοποιΐα	στιχοποιία	versification
στοιά	στοά	roofed colonnade, cloister
στοιχειακῶς	στοιχειακός	connected with the elements
στοιχειωδῶς	στοιχειώδης	elementary, of the nature of an element
στομάλιμνον	στομαλίμνη	salt-water lake, lagoon
στομαχικῶς	στομαχικός	of the stomach
στοναχίζω	στεναχίζω	groan, sigh, wail
στοχαστικῶς	στοχαστικός	skilful in aiming at, able to hit
στρέψασκον	στρέφω	turn about or aside
στραγγάλιον	στραγγαλάω	halter
στραγγῶς	στραγγός	twisted, crooked
στρατηΐη	στρατεία	expedition, campaign
στρατηγίη	στρατηγία	office of general, command
στρατηγίη	στρατηγιάω	wish to be a general
στρατηγικῶς	στρατηγικός	of or for a general
στρατιή	στρατιά	army
στρατιωτικῶς	στρατιωτικός	of or for soldiers
στρατόφι	στρατός	army, host.
στρεπτίκιος ἄρτος	ἄρτος	cake or loaf of wheat-bread
στρογγυλοειδῶς	στρογγυλοειδής	of round form
στρογγύλως	στρογγύλος	round, spherical
στρογγύλως	στρογγυλόω	to be round
στροφωδῶς	στροφώδης	of the nature of colic
στροφόω	στροφάω	turn hither and thither
στρούθειον μῆλον	μῆλον1	sheep or goat
στρούθειον μῆλον	μῆλον2	apple
στρούθειον μῆλον	στρούθειος	of an ostrich
στροϐιλίτης οἶνος	οἶνος	wine
στρωματίτης ἔρανος	στρωματίτης	at which the guests found their own
στρωματίτης ἔρανος	ἔρανος	meal to which each contributed his share, picnic
στρωμνά	στρωμνή	bed spread or prepared
στυγερωπός	στυγερώπης	horrible
στυγερῶς	στυγερός	hated, abominated, loathed
στυφλός	στυφελός	hard, rough
στωϊκεύομαι	στωικεύομαι	play the Stoic
στύμα	στόμα	mouth
στύπη	στύπος	stem, stump, block
στᾶθι	ἵστημι	make to stand
στῆ	ἵστημι	make to stand
στῆρ	στέαρ	hard fat, suet
συΐδιον	συίδιον	porker
συγγίνομαι	συγγίγνομαι	to be born with
συγγενικῶς	συγγενικός	congenital or hereditary
συγγηράω	συγγηράσκω	grow old together with
συγγινώσκω	συγγιγνώσκω	think with, agree with
συγγνωμονικῶς	συγγνωμονικός	inclined to make allowance, indulgent
συγγραφικῶς	συγγραφικός	given to writing
συγκάτημαι	συγκάθημαι	sit as assessor with
συγκάω	συγκαίω	set on fire with or at once, burn up
συγκαταγηράω	συγκαταγηράσκω	grow old with or together
συγκαταδύομαι	συγκαταδύνω	sink or set together with
συγκαταθετικῶς	συγκαταθετικός	assenting, approving
συγκαταιρέω	συγκαθαιρέω	put down together, join in putting down
συγκατακάω	συγκατακαίω	burn along with
συγκατακληΐω	συγκατακλείω	shut in or enclose with
συγκατακτάς	συγκατακτείνω	slay together
συγκαταρριπτέω	συγκαταρρίπτω	throw down together
συγκαταψηφίζω	συγκαταψηφίζομαι	condemn with or together
συγκληΐω	συγκλείω	shut or coop up, hem in, enclose
συγκοινόω	συγκοινόομαι	communicate, impart
συγκριτικῶς	συγκριτικός	of or for compounding
συγκρουσμός	σύγκρουσις	collision
συγκτερεΐζω	συγκτερείζω	join in paying the last honours to a corpse
συγκυναγός	συγκυνηγός	fellow-hunter
συγκυνηγέτης	συγκυνηγετέω	hunt together
συγχωρητικῶς	συγχωρητικός	assigning a place to . .
συγχόω	συγχώννυμι	heap with earth, cover with a mound, bank up
συζύγως	σύζυγος	yoked together, paired, united
συκομορίτης οἶνος	οἶνος	wine
συκοφαντίας	συκοφαντία	vexatious or dishonest prosecution, chicane, barratry, blackmail
συκοφαντικῶς	συκοφαντικός	typical of a
συκόω	συκάζω	gather or pluck ripe figs
συλήσιος	σύλησις	spoiling, plundering
συλαθείς	συλάω	strip off
συλλήπτρια	συλλήπτωρ	accomplice, assistant
συλληΐζομαι	συλληίζομαι	join in plundering
συλλογιστικῶς	συλλογιστικός	inferential
συλλούω	συλλούομαι	bathe with
συμμαχικῶς	συμμαχικός	of or for alliance
συμμετεωρίζω	συμμετεωρίζομαι	to be raised together with
συμμιμνῄσκομαι	συμμιμνήσκομαι	bear in mind along with
συμπέττω	συμπέσσω	mature by heating, cooking
συμπαίσδεν	συμπαίζω	play or sport with
συμπαίστρια	συμπαιστής	playmate, playfellow
συμπαίστωρ	συμπαιστής	playmate, playfellow
συμπεπληρωμένως	συμπληρόω	help to fill
συμπεραντικῶς	συμπεραντικός	tending to a conclusion
συμπερασματικῶς	συμπερασματικός	indicating the conclusion
συμπιάζω	συμπιέζω	press or squeeze together, grasp closely
συμπλεκτικῶς	συμπλεκτικός	twining or plaiting together
συμπλοϊκός	συμπλοικός	sailing with or together
συμπλώω	συμπλέω	sail in company with
συμποσιάρχης	συμποσιαρχέω	to be a
συμπρήκτωρ	συμπράκτωρ	helper, assistant
συμπρήσσω	συμπράσσω	join or help in doing
συμπρίω	συμπρίασθαι	buy up
συμπτωματικῶς	συμπτωματικός	accidental
συμφέρει	συμφέρω	bring together, gather, collect
συμφέρον	συμφέρω	bring together, gather, collect
συμφανῶς	συμφανής	manifest, evident
συμφορή	συμφορά	bringing together, collecting
συμφράζω	συμφράζομαι	join in considering, take counsel with
συμφυῶς	συμφυής	born with one, congenital, natural
συμφόρως	σύμφορος	accompanying
συμφώνως	σύμφωνος	agreeing in sound, harmonious
συμψύχω	σύμψυχος	of one mind, at unity
συνάγερθεν	συναγείρω	gather together, assemble
συνάορος	συνήορος	linked with, wedded to
συνάρηρα	συναραρίσκω	join together
συνάρω	συναίρω	take up together
συνέμεν	σύνειμι1	sum
συνέμεν	συνίημι	bring or set together
συνέραμαι	συνεράω	pour together, gather together
συνέσευε	συσσεύω	urge on together
συνήλυσις	συνηλυσίη	meeting, assembly
συναΐγδην	συναίγδην	pressing violently or boisterously together
συναΐσσω	συναίσσω	hasten together
συναίμων	σύναιμος	of common blood, kindred
συναίσθομαι	συναισθάνομαι	perceive simultaneously
συναγρόμενοι	συναγείρω	gather together, assemble
συναείδω	συνᾴδω	sing with or together, accompany in a song
συναείρομαι	συναείρω	raise up together
συνακτικῶς	συνακτικός	able to bring together
συναλειπτικόν	συναλειπτικός	coalescing by
συναλειπτικῶς	συναλειπτικός	coalescing by
συναλλαγματικῶς	συναλλαγματικός	of or for contracts
συναλοιάω	συναλοάω	thresh out together, trample in pieces
συναντέω	συναντάω	meet face to face
συναπίσταμαι	συναφίστημι	draw into revolt together
συναποθνῄσκω	συναποθνήσκω	die together with
συναποκτίννυμι	συναποκτείνω	kill together
συναπομαραίνω	συναπομαραίνομαι	fade away and die together
συνατιμόω	συνατιμάζω	insult or dishonour at the same time
συναφανίζω	συναφανίζομαι	disappear or perish together with
συναύξω	συναυξάνω	increase or enlarge along with
συνδίκως	σύνδικος	one who helps in a court of justice, advocate
συνδαΐζω	συνδαίζω	kill with the rest, kill also
συνδιαιτάω	συνδιαιτάομαι	live with or together
συνδιορίζω	συνδιορίζομαι	to be determined also
συνδιωκομένως	συνδιώκω	chase away together, join in the chase
συνδούλη	σύνδουλος	fellow-slave
συνδρόμως	σύνδρομος	running together, meeting
συνδόξαν	συνδοκέω	seem to one as to another, seem good also
συνεέργω	συνέργω	shut up or enclose together
συνείκοσι	ξυνεείκοσι	twenty together
συνείπασθαι	συνεῖπον	speak with
συνείργω	συνέργω	shut up or enclose together
συνείρηκα	συνερέω	speak with or together, advocate, support in a speech
συνείσομαι	σύνειμι2	ibo) go or come together, assemble
συνείσομαι	σύνοιδα	know
συνείσομαι	συνίζω	sit together, hold a sitting
συνειλίσσω	συνελίσσω	roll together, roll up
συνειλημμένως	συλλαμβάνω	collect, gather together
συνεκδοχικῶς	συνεκδοχικός	making use of
συνεκκρούω	συνεκκρούομαι	to be driven from one's purpose with
συνεκπλώω	συνεκπλέω	sail out along with
συνεκποιέομαι	συνεκποιέω	suffice
συνεκτικῶς	συνεκτικός	fit for holding together
συνεκτραχύνω	συνεκτραχύνομαι	to be furious together
συνεξερευνάομαι	συνεξερευνάω	examine thoroughly with
συνεπάπτομαι	συνεφάπτομαι	lay hold of jointly
συνεπαείδω	συνεπᾴδω	join in celebrating
συνεπιθωΰσσω	συνεπιθωύσσω	halloo so as to cheer on together
συνερῶ	συνεράω	pour together, gather together
συνερῶ	συνεράω2	love jointly or together with
συνερῶ	συνερέω	speak with or together, advocate, support in a speech
συνεσκιασμένως	συσκιάζω	shade quite over
συνεστεώς	συνίστημι	set together, combine
συνεταιρίζομαι	συνεταιρίζω	make
συνευαρεστέομαι	συνευαρεστέω	give one's consent
συνεχέως	συνεχής	holding together
συνεχῶς	συνεχής	holding together
συνηλυσία	συνηλυσίη	meeting, assembly
συνηττάομαι	συνησσάομαι	to be conquered together
συνθέλω	συνεθέλω	have the same wish, consent
συνθέτως	σύνθετος	put together, compounded, composite
συνθετικῶς	συνθετικός	skilled in putting together
συνθετός	σύνθετος	put together, compounded, composite
συνθηματικῶς	συνθηματικός	by preconcerted signs
συνθωκέω	συνθακέω	sit with
συνιστίη	συνεστιάω	help to entertain
συννομοθέτης	συννομοθετέω	to be a joint-lawgiver
συνομᾶλιξ	συνομῆλιξ	fellow, comrade
συνοπτικῶς	συνοπτικός	seeing the whole together, taking a comprehensive view
συνουσιωμένως	συνουσιάζω	keep company with
συνουσιωμένως	συνουσιόομαι	to be joined essentially with
συνουσιόω	συνουσιάζω	keep company with
συντάμνω	συντέμνω	cut down, cut short
συντάττω	συντάσσω	put in order together
συντελεστέω	συντελεστής	member of a land-owners' union which is responsible for the collection and payment of its taxes
συντελεστικῶς	συντελεστικός	capable of causing or effecting
συντελικῶς	συντελικός	belonging to
συντρόφως	σύντροφος	brought up together with
συντυχικῶς	συντυχικός	accidental
συνωμοτικῶς	συνωμοτικός	of or for a conspiracy
συνωνύμως	συνώνυμος	having the same name as
συνόδων	σύνοδος2	assembly, meeting
συνόλως	σύνολος	all together
συνόριον	συνοράω	to be able to see, have within the range of one's vision
συνόριον	συνορέω	to be conterminous
συνόρμενος	συνόρνυμαι	start or set forth together
συνῃδέατε	σύνοιδα	know
συοφόντις	συοφόντης	swine-slayer
συρίσδω	συρίζω	yw
συρίττω	συρίζω	yw
συρμαΐζω	συρμαίζω	take an emetic or purge
συρμαίη	συρμαία	purge-plant
συρμαϊσμός	συρμαισμός	use of an emetic
συσκήνιον	συσκηνέω	live in the same tent with
συσταυρόω	συσταυρόομαι	to be crucified together with
συστελλομένως	συστέλλω	draw together: shorten sail
